"","animals_name","number_of_pets","name_length"
"1","__",1,2
"2","-",1,1
"3","'Alani",1,6
"4","'Murca",1,6
"5","""Luci"" Lucia Rosalin Wicksugal",1,30
"6","""Mama"" Maya",1,11
"7","""Mo""",1,4
"8","1",1,1
"9","2",1,1
"10","30 Weight",1,9
"11","7's",1,3
"12","99",1,2
"13","A.C.",1,4
"14","A.J.",1,4
"15","Aaden",1,5
"16","Aaliyah",3,7
"17","Aamira",1,6
"18","Aaron",1,5
"19","Aarthi",1,6
"20","Aasif",1,5
"21","Aaslee",1,6
"22","Aatu",1,4
"23","Aauuga",1,6
"24","Aballah",1,7
"25","Abba",1,4
"26","Abbesses",1,8
"27","Abbey",25,5
"28","Abbey La Chasse",1,15
"29","Abbey Road Heberlein",1,20
"30","Abbi",1,4
"31","Abbie",8,5
"32","Abbie Edna May",1,14
"33","Abbott Tiberius Bouvier",1,23
"34","Abbracci",1,8
"35","Abby",115,4
"36","Abby Cookie",1,11
"37","Abby Rhodes",1,11
"38","Abby Slater-Thurston",1,20
"39","Abbygale",1,8
"40","Abdi",1,4
"41","Abe",4,3
"42","ABE FROMAN",1,10
"43","Abelard",1,7
"44","Abi",3,3
"45","Abi(gail)",1,9
"46","Abigael",1,7
"47","Abigail",19,7
"48","Abigail (Abby)",1,14
"49","Abigail Adams",1,13
"50","Abigail Button",1,14
"51","Abilene",1,7
"52","Abner",2,5
"53","Abner Galactus Henry",1,20
"54","Abra",1,4
"55","Abraham",3,7
"56","Abu",5,3
"57","Abu Tu",1,6
"58","Ace",34,3
"59","Ace Friedman",1,12
"60","Aces",1,4
"61","Aché",1,4
"62","Achilles",5,8
"63","Achilles Sok",1,12
"64","Acho",1,4
"65","Achoo",1,5
"66","Acorn",2,5
"67","Action Jackson",1,14
"68","Ada",24,3
"69","Ada Ninkasi",1,11
"70","Ada Potata Moopes",1,17
"71","Adak",1,4
"72","Adam",2,4
"73","Adam Holstein Whidbey",1,21
"74","Adam Hooch",1,10
"75","Adam West Bakenhus",1,18
"76","Adarha",1,6
"77","Addie",19,5
"78","Addie Lou",1,9
"79","Addie Mae",1,9
"80","Addie Moses",1,11
"81","Addison",7,7
"82","Addy",12,4
"83","Adelaide",3,8
"84","Adelaide Breve Colton",1,21
"85","Adelaide Rose",1,13
"86","Adele",7,5
"87","Adeline",3,7
"88","Adelle",1,6
"89","Aden",1,4
"90","Adi",2,3
"91","Adina",1,5
"92","Aditi",1,5
"93","Adobe",1,5
"94","Adolpho",1,7
"95","Adora",4,5
"96","Adorabelle",1,10
"97","Adorable",1,8
"98","Adrian",1,6
"99","Aedan",1,5
"100","Aegon",1,5
"101","Aenghus",1,7
"102","Aengus",3,6
"103","Aeon",1,4
"104","Aerie",1,5
"105","Aero",2,4
"106","Aethi",1,5
"107","Agador",1,6
"108","Agate",1,5
"109","Agatha",9,6
"110","Agatha Christie",1,15
"111","Agave",2,5
"112","Agent Fluffy",1,12
"113","Agent Lana Kane rogers",1,22
"114","Agent Sparrow",1,13
"115","Aggie",10,5
"116","Agi",1,3
"117","Agnes",7,5
"118","Agnes ""Aggie"" Snowball Pineapple Clark",1,38
"119","Agnes / Aggie",1,13
"120","Agnes Anne",1,10
"121","Agnetha",1,7
